region_code,council_code,name_sw,name_en,council_type
DAR_ES_SALAAM,DAR_ES_SALAAM_TEMEKE_MC,Halmashauri ya Manispaa ya Temeke,Temeke Municipal Council,MUNICIPAL
DAR_ES_SALAAM,DAR_ES_SALAAM_KIGAMBONI_MC,Halmashauri ya Manispaa ya Kigamboni,Kigamboni Municipal Council,MUNICIPAL
DAR_ES_SALAAM,DAR_ES_SALAAM_UBUNGO_MC,Halmashauri ya Manispaa ya Ubungo,Ubungo Municipal Council,MUNICIPAL
LINDI,LINDI_KILWA_DC,Halmashauri ya Wilaya ya Kilwa,Kilwa District Council,DISTRICT
LINDI,LINDI_MTAMA_DC,Halmashauri ya Wilaya ya Mtama,Mtama District Council,DISTRICT
LINDI,LINDI_LINDI_MC,Halmashauri ya Manispaa ya Lindi,Lindi Municipal Council,MUNICIPAL
LINDI,LINDI_NACHINGWEA_DC,Halmashauri ya Wilaya ya Nachingwea,Nachingwea District Council,DISTRICT
LINDI,LINDI_LIWALE_DC,Halmashauri ya Wilaya ya Liwale,Liwale District Council,DISTRICT
LINDI,LINDI_RUANGWA_DC,Halmashauri ya Wilaya ya Ruangwa,Ruangwa District Council,DISTRICT
MTWARA,MTWARA_MTWARA_DC,Halmashauri ya Wilaya ya Mtwara,Mtwara District Council,DISTRICT
MTWARA,MTWARA_NANYAMBA_TC,Halmashauri ya Mji wa Nanyamba,Nanyamba Town Council,TOWN
MTWARA,MTWARA_MTWARA_MC,Halmashauri ya Manispaa ya Mtwara,Mtwara Municipal Council,MUNICIPAL
MTWARA,MTWARA_NEWALA_DC,Halmashauri ya Wilaya ya Newala,Newala District Council,DISTRICT
MTWARA,MTWARA_NEWALA_TC,Halmashauri ya Mji wa Newala,Newala Town Council,TOWN
MTWARA,MTWARA_MASASI_DC,Halmashauri ya Wilaya ya Masasi,Masasi District Council,DISTRICT
MTWARA,MTWARA_MASASI_TC,Halmashauri ya Mji wa Masasi,Masasi Town Council,TOWN
MTWARA,MTWARA_TANDAHIMBA_DC,Halmashauri ya Wilaya ya Tandahimba,Tandahimba District Council,DISTRICT
MTWARA,MTWARA_NANYUMBU_DC,Halmashauri ya Wilaya ya Nanyumbu,Nanyumbu District Council,DISTRICT
RUVUMA,RUVUMA_TUNDURU_DC,Halmashauri ya Wilaya ya Tunduru,Tunduru District Council,DISTRICT
RUVUMA,RUVUMA_SONGEA_DC,Halmashauri ya Wilaya ya Songea,Songea District Council,DISTRICT
RUVUMA,RUVUMA_SONGEA_MC,Halmashauri ya Manispaa ya Songea,Songea Municipal Council,MUNICIPAL
RUVUMA,RUVUMA_MADABA_DC,Halmashauri ya Wilaya ya Madaba,Madaba District Council,DISTRICT
RUVUMA,RUVUMA_MBINGA_DC,Halmashauri ya Wilaya ya Mbinga,Mbinga District Council,DISTRICT
RUVUMA,RUVUMA_MBINGA_TC,Halmashauri ya Mji wa Mbinga,Mbinga Town Council,TOWN
RUVUMA,RUVUMA_NYASA_DC,Halmashauri ya Wilaya ya Nyasa,Nyasa District Council,DISTRICT
RUVUMA,RUVUMA_NAMTUMBO_DC,Halmashauri ya Wilaya ya Namtumbo,Namtumbo District Council,DISTRICT
IRINGA,IRINGA_IRINGA_DC,Halmashauri ya Wilaya ya Iringa,Iringa District Council,DISTRICT
IRINGA,IRINGA_IRINGA_MC,Halmashauri ya Manispaa ya Iringa,Iringa Municipal Council,MUNICIPAL
IRINGA,IRINGA_MAFINGA_TC,Halmashauri ya Mji wa Mafinga,Mafinga Town Council,TOWN
IRINGA,IRINGA_MUFINDI_DC,Halmashauri ya Wilaya ya Mufindi,Mufindi District Council,DISTRICT
IRINGA,IRINGA_KILOLO_DC,Halmashauri ya Wilaya ya Kilolo,Kilolo District Council,DISTRICT
MBEYA,MBEYA_CHUNYA_DC,Halmashauri ya Wilaya ya Chunya,Chunya District Council,DISTRICT
MBEYA,MBEYA_MBEYA_DC,Halmashauri ya Wilaya ya Mbeya,Mbeya District Council,DISTRICT
MBEYA,MBEYA_MBEYA_CC,Halmashauri ya Jiji la Mbeya,Mbeya City Council,CITY
MBEYA,MBEYA_KYELA_DC,Halmashauri ya Wilaya ya Kyela,Kyela District Council,DISTRICT
MBEYA,MBEYA_RUNGWE_DC,Halmashauri ya Wilaya ya Rungwe,Rungwe District Council,DISTRICT
MBEYA,MBEYA_BUSOKELO_DC,Halmashauri ya Wilaya ya Busokelo,Busokelo District Council,DISTRICT
MBEYA,MBEYA_MBARALI_DC,Halmashauri ya Wilaya ya Mbarali,Mbarali District Council,DISTRICT
SINGIDA,SINGIDA_IRAMBA_DC,Halmashauri ya Wilaya ya Iramba,Iramba District Council,DISTRICT
SINGIDA,SINGIDA_SINGIDA_DC,Halmashauri ya Wilaya ya Singida,Singida District Council,DISTRICT
SINGIDA,SINGIDA_SINGIDA_MC,Halmashauri ya Manispaa ya Singida,Singida Municipal Council,MUNICIPAL
